id,name,element,weakness,hp,attack,description,unlockCondition,version,expReward,goldReward
blue_two_headed_dragon,双頭アクアドラゴン,WATER,NATURE,450,75,氷の息。,None,N3,1100,55
blue_valiant_dragon,勇者ドラゴン,WATER,NATURE,500,80,伝説の竜。,None,N3,1200,60
purple_dragon,ヴォイドドラゴン,DARK,LIGHT,550,85,異界の竜。,None,N3,1300,65
purple_five_headed_dragon,ヒュドラドラゴン,DARK,LIGHT,600,90,再生能力を持つ。,None,N3,1500,75
blue_ice_yeti,氷雪イエティ,WATER,NATURE,350,60,吹雪を呼ぶ。,None,N3,800,40
dragon_fire,エルダードラゴン,FIRE,WATER,1000,100,古の竜王。,BOSS,N3,5000,250
deep_sea_mage_1_4,流麗な海獣,WATER,NATURE,100,30,対FIRE用秘密兵器,STAGE:N4-1,N4,0,0
deep_sea_serpent_2_4,流麗な魔導士,WATER,NATURE,100,30,対FIRE用秘密兵器,STAGE:N4-2,N4,0,0
deep_sea_kraken_3_4,氷結の海竜,WATER,NATURE,100,30,対FIRE用秘密兵器,STAGE:N4-3,N4,0,0
deep_sea_whale_5_4,蒼き精霊,WATER,NATURE,100,30,対FIRE用秘密兵器,STAGE:N4-5,N4,0,0
deep_sea_shark,深海の海獣,WATER,NATURE,100,30,対FIRE用秘密兵器,,,0,0
deep_sea_kraken,蒼き海竜,WATER,NATURE,100,30,対FIRE用秘密兵器,,,0,0
deep_sea_mage,深海の海竜,WATER,NATURE,100,30,対FIRE用秘密兵器,,,0,0
deep_sea_whale,深海の海竜,WATER,NATURE,100,30,対FIRE用秘密兵器,,,0,0
deep_sea_serpent,深海の海竜,WATER,NATURE,100,30,対FIRE用秘密兵器,,,0,0
frozen_mage,氷結の精霊,WATER,NATURE,100,30,氷結の精霊,,N5,0,0
mossy_wolf,大樹の守護者,NATURE,FIRE,100,30,大樹の守護者,,N5,0,0
red_spirit,紅蓮の竜,FIRE,WATER,100,30,紅蓮の竜,,N5,0,0
red_phoenix,紅蓮の魔人,FIRE,WATER,100,30,紅蓮の魔人,,N5,0,0
crimson_knight,灼熱の精霊,FIRE,WATER,100,30,灼熱の精霊,,N5,0,0
blazing_demon,赤き魔人,FIRE,WATER,100,30,赤き魔人,,N5,0,0
infernal_demon,灼熱の騎士,FIRE,WATER,100,30,灼熱の騎士,,N5,0,0
infernal_dragon,爆炎の騎士,FIRE,WATER,100,30,爆炎の騎士,,N5,0,0
red_dragon,爆炎の騎士,FIRE,WATER,100,30,爆炎の騎士,,N5,0,0
blazing_spirit,爆炎の竜,FIRE,WATER,100,30,爆炎の竜,,N5,0,0
forest_wolf,大樹の獣,NATURE,FIRE,100,30,大樹の獣,,N5,0,0
golden_griffin,輝きの精霊,LIGHT,DARK,100,30,輝きの精霊,,N5,0,0
frozen_shark,深海の魔導士,WATER,NATURE,100,30,深海の魔導士,,N5,0,0
emerald_beast,森の獣,NATURE,FIRE,100,30,森の獣,,N5,0,0
burning_knight,紅蓮の竜,FIRE,WATER,100,30,紅蓮の竜,,N5,0,0
infernal_spirit,赤き魔人,FIRE,WATER,100,30,赤き魔人,,N5,0,0
infernal_knight,紅蓮の魔人,FIRE,WATER,100,30,紅蓮の魔人,,N5,0,0
burning_phoenix,赤き精霊,FIRE,WATER,100,30,赤き精霊,,N5,0,0
azure_whale,蒼き海獣,WATER,NATURE,100,30,蒼き海獣,,N4,0,0
forest_ent,森の精霊,NATURE,FIRE,100,30,森の精霊,,N4,0,0
red_demon,紅蓮の魔人,FIRE,WATER,100,30,紅蓮の魔人,,N4,0,0
tidal_shark,氷結の海獣,WATER,NATURE,100,30,氷結の海獣,,N4,0,0
blazing_phoenix,爆炎の竜,FIRE,WATER,100,30,爆炎の竜,,N4,0,0
frozen_whale,流麗な魔導士,WATER,NATURE,100,30,流麗な魔導士,,N4,0,0
burning_dragon,紅蓮の精霊,FIRE,WATER,100,30,紅蓮の精霊,,N4,0,0
shadow_specter,深淵の精霊,DARK,LIGHT,100,30,深淵の精霊,,N4,0,0
phantom_specter,漆黒の精霊,DARK,LIGHT,100,30,漆黒の精霊,,N4,0,0
tidal_serpent,蒼き海獣,WATER,NATURE,100,30,蒼き海獣,,N4,0,0
abyssal_assassin,呪われし死神,DARK,LIGHT,100,30,呪われし死神,,N4,0,0
blue_mage,蒼き海獣,WATER,NATURE,100,30,蒼き海獣,,N4,0,0
verdant_wolf,森の守護者,NATURE,FIRE,100,30,森の守護者,,N4,0,0
tidal_mage,流麗な海獣,WATER,NATURE,100,30,流麗な海獣,,N4,0,0
burning_spirit,爆炎の騎士,FIRE,WATER,100,30,爆炎の騎士,,N4,0,0
crimson_phoenix,爆炎の竜,FIRE,WATER,100,30,爆炎の竜,,N4,0,0
radiant_angel,聖なる聖騎士,LIGHT,DARK,100,30,聖なる聖騎士,,N4,0,0
blue_kraken,蒼き海獣,WATER,NATURE,100,30,蒼き海獣,,N4,0,0
deep_sea_serpent,蒼き精霊,WATER,NATURE,100,30,蒼き精霊,,N3,0,0
frozen_kraken,流麗な海獣,WATER,NATURE,100,30,流麗な海獣,,N3,0,0
azure_mage,深海の魔導士,WATER,NATURE,100,30,深海の魔導士,,N3,0,0
forest_golem,野生の精霊,NATURE,FIRE,100,30,野生の精霊,,N3,0,0
crimson_demon,赤き騎士,FIRE,WATER,100,30,赤き騎士,,N3,0,0
verdant_ent,大樹の守護者,NATURE,FIRE,100,30,大樹の守護者,,N3,0,0
blue_shark,流麗な海竜,WATER,NATURE,100,30,流麗な海竜,,N3,0,0
forest_beast,大樹の獣,NATURE,FIRE,100,30,大樹の獣,,N3,0,0
bright_unicorn,聖なる聖騎士,LIGHT,DARK,100,30,聖なる聖騎士,,N3,0,0
bright_paladin,輝きの聖騎士,LIGHT,DARK,100,30,輝きの聖騎士,,N3,0,0
deep_sea_kraken,流麗な海獣,WATER,NATURE,100,30,流麗な海獣,,N3,0,0
wild_golem,森の守護者,NATURE,FIRE,100,30,森の守護者,,N3,0,0
bright_lion,輝きの聖獣,LIGHT,DARK,100,30,輝きの聖獣,,N3,0,0
mossy_guardian,野生の獣,NATURE,FIRE,100,30,野生の獣,,N3,0,0
blazing_dragon,灼熱の竜,FIRE,WATER,100,30,灼熱の竜,,N3,0,0
cursed_bat,闇の処刑人,DARK,LIGHT,100,30,闇の処刑人,,N3,0,0
blue_serpent,流麗な海竜,WATER,NATURE,100,30,流麗な海竜,,N3,0,0
